orderNumber,productName,quantityOrdered,priceEach,totalPrice,recommendedPrice,difference,percentReduction,customerName,salesEmployee,orderDate,buyPrice,productLine
10103,"1996 Peterbilt 379 Stake Bed with Outrigger",45,63.35,2850.75,2908.80,58.05,1.995668,"Baane Mini Imports","Barry Jones",2003-01-29,33.61,"Trucks and Buses"
10103,"1982 Camaro Z28",42,94.07,3950.94,4248.30,297.36,6.999506,"Baane Mini Imports","Barry Jones",2003-01-29,46.53,"Classic Cars"
10104,"1969 Corvair Monza",34,131.44,4468.96,5136.72,667.76,12.999735,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,89.14,"Classic Cars"
10104,"1957 Chevy Pickup",41,111.39,4566.99,4858.50,291.51,6.000000,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,55.70,"Trucks and Buses"
10104,"1998 Chrysler Plymouth Prowler",24,135.90,3261.60,3929.52,667.92,16.997496,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,101.51,"Classic Cars"
10104,"1964 Mercedes Tour Bus",29,122.73,3559.17,3559.17,0.00,0.000000,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,74.86,"Trucks and Buses"
10104,"1992 Ferrari 360 Spider red",23,165.95,3816.85,3894.82,77.97,2.001890,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,77.90,"Classic Cars"
10104,"1970 Triumph Spitfire",38,119.20,4529.60,5457.56,927.96,17.003203,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,91.92,"Classic Cars"
10104,"1970 Dodge Coronet",35,52.02,1820.70,2023.00,202.30,10.000000,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,32.37,"Classic Cars"
10104,"1958 Chevy Corvette Limited Edition",44,30.41,1338.04,1555.84,217.80,13.998869,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,15.91,"Classic Cars"
10104,"1992 Porsche Cayenne Turbo Silver",26,106.45,2767.70,3075.28,307.58,10.001691,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,69.78,"Classic Cars"
10104,"1954 Greyhound Scenicruiser",35,51.95,1818.25,1893.85,75.60,3.991868,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,25.98,"Trucks and Buses"
10104,"1950's Chicago Surface Lines Streetcar",49,56.55,2770.95,3044.86,273.91,8.995816,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,26.72,Trains
10104,"Diamond T620 Semi-Skirted Tanker",33,114.59,3781.47,3819.75,38.28,1.002160,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,68.29,"Trucks and Buses"
10104,"1962 City of Detroit Streetcar",32,53.31,1705.92,1874.56,168.64,8.996244,"Euro+ Shopping Channel","Gerard Hernandez",2003-01-31,37.49,Trains
10105,"1972 Alfa Romeo GTA",50,127.84,6392.00,6800.00,408.00,6.000000,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,85.68,"Classic Cars"
10105,"2001 Ferrari Enzo",41,205.72,8434.52,8519.80,85.28,1.000962,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,95.59,"Classic Cars"
10105,"1969 Ford Falcon",29,141.88,4114.52,5017.58,903.06,17.997919,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,83.05,"Classic Cars"
10105,"1903 Ford Model A",22,136.59,3004.98,3004.98,0.00,0.000000,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,68.30,"Vintage Cars"
10105,"Collectable Wooden Train",38,87.73,3333.74,3831.92,498.18,13.000793,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,67.56,Trains
10105,"1904 Buick Runabout",41,75.48,3094.68,3598.57,503.89,14.002507,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,52.66,"Vintage Cars"
10105,"18th century schooner",43,117.97,5072.71,5284.27,211.56,4.003580,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,82.34,Ships
10105,"1912 Ford Model T Delivery Wagon",44,73.46,3232.24,3894.44,662.20,17.003728,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,46.91,"Vintage Cars"
10105,"1940 Ford Delivery Sedan",50,75.47,3773.50,4193.00,419.50,10.004770,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,48.64,"Vintage Cars"
10105,"The Schooner Bluenose",41,54.00,2214.00,2733.47,519.47,19.004050,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,34.00,Ships
10105,"The Mayflower",29,86.61,2511.69,2511.69,0.00,0.000000,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,43.30,Ships
10105,"The USS Constitution Ship",31,60.72,1882.32,2240.68,358.36,15.993359,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,33.97,Ships
10105,"The Titanic",39,92.16,3594.24,3906.63,312.39,7.996406,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,51.09,Ships
10105,"The Queen Mary",22,99.31,2184.82,2184.82,0.00,0.000000,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,53.63,Ships
10105,"Pont Yacht",25,44.77,1119.25,1365.00,245.75,18.003663,"Danish Wholesale Imports","Pamela Castillo",2003-02-11,33.30,Ships
10106,"1980s Black Hawk Helicopter",36,134.04,4825.44,5676.84,851.40,14.997780,"Rovelli Gifts","Pamela Castillo",2003-02-17,77.27,Planes
10106,"P-51-D Mustang",34,81.10,2757.40,2872.32,114.92,4.000947,"Rovelli Gifts","Pamela Castillo",2003-02-17,49.00,Planes
10106,"1999 Yamaha Speed Boat",41,80.86,3315.26,3526.82,211.56,5.998605,"Rovelli Gifts","Pamela Castillo",2003-02-17,51.61,Ships
10106,"1941 Chevrolet Special Deluxe Cabriolet",41,94.22,3863.02,4340.67,477.65,11.004062,"Rovelli Gifts","Pamela Castillo",2003-02-17,64.58,"Vintage Cars"
10106,"1928 British Royal Navy Airplane",28,107.23,3002.44,3063.76,61.32,2.001462,"Rovelli Gifts","Pamela Castillo",2003-02-17,66.74,Planes
10106,"1900s Vintage Bi-Plane",49,65.77,3222.73,3356.99,134.26,3.999416,"Rovelli Gifts","Pamela Castillo",2003-02-17,34.25,Planes
10106,"1937 Horch 930V Limousine",31,55.89,1732.59,2038.25,305.66,14.996198,"Rovelli Gifts","Pamela Castillo",2003-02-17,26.30,"Vintage Cars"
10106,"Corsair F4U ( Bird Cage)",50,55.96,2798.00,3412.00,614.00,17.995311,"Rovelli Gifts","Pamela Castillo",2003-02-17,29.34,Planes
10106,"1900s Vintage Tri-Plane",26,71.00,1846.00,1883.70,37.70,2.001380,"Rovelli Gifts","Pamela Castillo",2003-02-17,36.23,Planes
10106,"1928 Ford Phaeton Deluxe",33,65.35,2156.55,2270.07,113.52,5.000727,"Rovelli Gifts","Pamela Castillo",2003-02-17,33.02,"Vintage Cars"
10106,"1930 Buick Marquette Phaeton",39,35.78,1395.42,1701.96,306.54,18.010999,"Rovelli Gifts","Pamela Castillo",2003-02-17,27.06,"Vintage Cars"
10106,"American Airlines: B767-300",31,91.34,2831.54,2831.54,0.00,0.000000,"Rovelli Gifts","Pamela Castillo",2003-02-17,51.15,Planes
10106,"HMS Bounty",30,85.09,2552.70,2715.60,162.90,5.998674,"Rovelli Gifts","Pamela Castillo",2003-02-17,39.83,Ships
10106,"America West Airlines B757-200",34,99.72,3390.48,3390.48,0.00,0.000000,"Rovelli Gifts","Pamela Castillo",2003-02-17,68.80,Planes
10106,"ATA: B757-300",32,113.90,3644.80,3796.80,152.00,4.003371,"Rovelli Gifts","Pamela Castillo",2003-02-17,59.33,Planes
10106,"F/A 18 Hornet 1/72",44,76.00,3344.00,3520.00,176.00,5.000000,"Rovelli Gifts","Pamela Castillo",2003-02-17,54.40,Planes
10106,"American Airlines: MD-11S",48,70.33,3375.84,3553.44,177.60,4.997974,"Rovelli Gifts","Pamela Castillo",2003-02-17,36.27,Planes
10106,"Boeing X-32A JSF",48,43.70,2097.60,2383.68,286.08,12.001611,"Rovelli Gifts","Pamela Castillo",2003-02-17,32.77,Planes
10107,"1969 Harley Davidson Ultimate Chopper",30,81.35,2440.50,2871.00,430.50,14.994775,"Land of Toys Inc.","George Vanauf",2003-02-24,48.81,Motorcycles
10107,"1996 Moto Guzzi 1100i",39,105.86,4128.54,4638.66,510.12,10.997141,"Land of Toys Inc.","George Vanauf",2003-02-24,68.99,Motorcycles
10107,"2003 Harley-Davidson Eagle Drag Bike",27,172.36,4653.72,5228.82,575.10,10.998657,"Land of Toys Inc.","George Vanauf",2003-02-24,91.02,Motorcycles
10107,"2002 Suzuki XREO",21,122.00,2562.00,3163.02,601.02,19.001461,"Land of Toys Inc.","George Vanauf",2003-02-24,66.27,Motorcycles
10107,"1936 Harley Davidson El Knucklehead",29,52.70,1528.30,1756.53,228.23,12.993231,"Land of Toys Inc.","George Vanauf",2003-02-24,24.23,Motorcycles
10107,"1997 BMW R 1100 S",25,96.92,2423.00,2817.50,394.50,14.001775,"Land of Toys Inc.","George Vanauf",2003-02-24,60.86,Motorcycles
10107,"1960 BSA Gold Star DBD34",38,73.12,2778.56,2894.46,115.90,4.004201,"Land of Toys Inc.","George Vanauf",2003-02-24,37.32,Motorcycles
10107,"1997 BMW F650 ST",20,88.90,1778.00,1997.80,219.80,11.002102,"Land of Toys Inc.","George Vanauf",2003-02-24,66.92,Motorcycles
10108,"1968 Ford Mustang",33,165.38,5457.54,6420.81,963.27,15.002313,"Cruz & Sons Co.","Mami Nishi",2003-03-03,95.34,"Classic Cars"
10108,"1968 Dodge Charger",45,96.30,4333.50,5284.80,951.30,18.000681,"Cruz & Sons Co.","Mami Nishi",2003-03-03,75.16,"Classic Cars"
10108,"1970 Plymouth Hemi Cuda",39,75.81,2956.59,3112.20,155.61,5.000000,"Cruz & Sons Co.","Mami Nishi",2003-03-03,31.92,"Classic Cars"
10108,"1969 Dodge Charger",36,107.10,3855.60,4145.76,290.16,6.998958,"Cruz & Sons Co.","Mami Nishi",2003-03-03,58.73,"Classic Cars"
10108,"1948 Porsche 356-A Roadster",38,67.76,2574.88,2926.00,351.12,12.000000,"Cruz & Sons Co.","Mami Nishi",2003-03-03,53.90,"Classic Cars"
10108,"1969 Dodge Super Bee",26,73.17,1902.42,2090.66,188.24,9.003855,"Cruz & Sons Co.","Mami Nishi",2003-03-03,49.05,"Classic Cars"
10108,"1976 Ford Gran Torino",29,132.29,3836.41,4262.71,426.30,10.000680,"Cruz & Sons Co.","Mami Nishi",2003-03-03,73.49,"Classic Cars"
10108,"1957 Vespa GS150",43,52.84,2272.12,2673.31,401.19,15.007238,"Cruz & Sons Co.","Mami Nishi",2003-03-03,32.95,Motorcycles
10108,"1957 Corvette Convertible",44,139.87,6154.28,6547.20,392.92,6.001344,"Cruz & Sons Co.","Mami Nishi",2003-03-03,69.93,"Classic Cars"
10108,"1982 Ducati 900 Monster",35,64.41,2254.35,2424.10,169.75,7.002599,"Cruz & Sons Co.","Mami Nishi",2003-03-03,47.10,Motorcycles
10108,"1971 Alpine Renault 1600s",30,60.01,1800.30,1836.90,36.60,1.992487,"Cruz & Sons Co.","Mami Nishi",2003-03-03,38.58,"Classic Cars"
10108,"1956 Porsche 356A Coupe",40,132.00,5280.00,5617.20,337.20,6.002991,"Cruz & Sons Co.","Mami Nishi",2003-03-03,98.30,"Classic Cars"
10108,"1961 Chevrolet Impala",31,67.10,2080.10,2506.04,425.94,16.996536,"Cruz & Sons Co.","Mami Nishi",2003-03-03,32.33,"Classic Cars"
10108,"1982 Ducati 996 R",27,36.21,977.67,1086.21,108.54,9.992543,"Cruz & Sons Co.","Mami Nishi",2003-03-03,24.14,Motorcycles
10108,"1974 Ducati 350 Mk3 Desmo",31,87.76,2720.56,3163.55,442.99,14.002940,"Cruz & Sons Co.","Mami Nishi",2003-03-03,56.13,Motorcycles
10108,"2002 Yamaha YZR M1",34,74.85,2544.90,2766.24,221.34,8.001475,"Cruz & Sons Co.","Mami Nishi",2003-03-03,34.17,Motorcycles
10109,"1993 Mazda RX-7",26,117.48,3054.48,3680.04,625.56,16.998728,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,83.51,"Classic Cars"
10109,"1995 Honda Civic",38,137.98,5243.24,5405.50,162.26,3.001757,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,93.89,"Classic Cars"
10109,"1999 Indy 500 Monte Carlo SS",26,126.72,3294.72,3432.00,137.28,4.000000,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,56.76,"Classic Cars"
10109,"1992 Ferrari 360 Spider red",46,160.87,7400.02,7789.64,389.62,5.001772,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,77.90,"Classic Cars"
10109,"1948 Porsche Type 356 Roadster",47,125.74,5909.78,6640.16,730.38,10.999434,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,62.16,"Classic Cars"
10109,"1982 Lamborghini Diablo",29,32.10,930.90,1095.04,164.14,14.989407,"Motor Mint Distributors Inc.","George Vanauf",2003-03-10,16.24,"Classic Cars"
10110,"1965 Aston Martin DB5",37,118.22,4374.14,4604.28,230.14,4.998393,"AV Stores, Co.","Larry Bott",2003-03-18,65.96,"Classic Cars"
10110,"1917 Grand Touring Sedan",42,153.00,6426.00,7140.00,714.00,10.000000,"AV Stores, Co.","Larry Bott",2003-03-18,86.70,"Vintage Cars"
10110,"1911 Ford Town Car",32,51.46,1646.72,1937.28,290.56,14.998348,"AV Stores, Co.","Larry Bott",2003-03-18,33.30,"Vintage Cars"
10110,"1932 Model A Ford J-Coupe",33,115.69,3817.77,4195.29,377.52,8.998663,"AV Stores, Co.","Larry Bott",2003-03-18,58.48,"Vintage Cars"
10110,"1928 Mercedes-Benz SSK",31,163.69,5074.39,5231.25,156.86,2.998519,"AV Stores, Co.","Larry Bott",2003-03-18,72.56,"Vintage Cars"
10110,"1932 Alfa Romeo 8C2300 Spider Sport",28,81.91,2293.48,2576.84,283.36,10.996414,"AV Stores, Co.","Larry Bott",2003-03-18,43.26,"Vintage Cars"
10110,"1957 Ford Thunderbird",42,62.00,2604.00,2993.34,389.34,13.006875,"AV Stores, Co.","Larry Bott",2003-03-18,34.21,"Classic Cars"
10110,"1970 Chevy Chevelle SS 454",36,72.02,2592.72,2645.64,52.92,2.000272,"AV Stores, Co.","Larry Bott",2003-03-18,49.24,"Classic Cars"
10110,"1966 Shelby Cobra 427 S/C",29,43.27,1254.83,1458.99,204.16,13.993242,"AV Stores, Co.","Larry Bott",2003-03-18,29.18,"Classic Cars"
10110,"1939 Chevrolet Deluxe Coupe",20,28.88,577.60,663.80,86.20,12.985839,"AV Stores, Co.","Larry Bott",2003-03-18,22.57,"Vintage Cars"
10110,"1938 Cadillac V-16 Presidential Limousine",39,40.77,1590.03,1747.20,157.17,8.995536,"AV Stores, Co.","Larry Bott",2003-03-18,20.61,"Vintage Cars"
10110,"1949 Jaguar XK 120",43,82.69,3555.67,3907.41,351.74,9.001871,"AV Stores, Co.","Larry Bott",2003-03-18,47.25,"Classic Cars"
10110,"1952 Citroen-15CV",46,112.74,5186.04,5402.24,216.20,4.002044,"AV Stores, Co.","Larry Bott",2003-03-18,72.82,"Classic Cars"
10110,"1969 Chevrolet Camaro Z28",27,80.47,2172.69,2311.47,138.78,6.003971,"AV Stores, Co.","Larry Bott",2003-03-18,50.51,"Classic Cars"
10110,"2002 Chevy Corvette",37,96.37,3565.69,3961.96,396.27,10.001868,"AV Stores, Co.","Larry Bott",2003-03-18,62.11,"Classic Cars"
10110,"1936 Mercedes Benz 500k Roadster",48,35.29,1693.92,1969.44,275.52,13.989764,"AV Stores, Co.","Larry Bott",2003-03-18,21.75,"Vintage Cars"
10111,"1937 Lincoln Berline",33,87.33,2881.89,3390.42,508.53,14.999027,"Mini Wheels Co.","Leslie Jennings",2003-03-25,60.62,"Vintage Cars"
10111,"1936 Mercedes-Benz 500K Special Roadster",48,48.52,2328.96,2587.68,258.72,9.998145,"Mini Wheels Co.","Leslie Jennings",2003-03-25,24.26,"Vintage Cars"
10111,"1934 Ford V8 Coupe",28,53.09,1486.52,1748.88,262.36,15.001601,"Mini Wheels Co.","Leslie Jennings",2003-03-25,34.35,"Vintage Cars"
10111,"18th Century Vintage Horse Carriage",43,94.25,4052.75,4502.96,450.21,9.998090,"Mini Wheels Co.","Leslie Jennings",2003-03-25,60.74,"Vintage Cars"
10111,"1917 Maxwell Touring Car",39,91.27,3559.53,3869.19,309.66,8.003225,"Mini Wheels Co.","Leslie Jennings",2003-03-25,57.54,"Vintage Cars"
10111,"1936 Chrysler Airflow",26,85.70,2228.20,2532.14,303.94,12.003286,"Mini Wheels Co.","Leslie Jennings",2003-03-25,57.46,"Vintage Cars"
10112,"1952 Alpine Renault 1300",29,197.16,5717.64,6214.70,497.06,7.998133,"Volvo Model Replicas, Co","Barry Jones",2003-03-24,98.58,"Classic Cars"
10112,"1913 Ford Model T Speedster",23,85.10,1957.30,2330.13,372.83,16.000395,"Volvo Model Replicas, Co","Barry Jones",2003-03-24,60.78,"Vintage Cars"
10113,"1958 Setra Bus",21,121.64,2554.44,2870.07,315.63,10.997293,"Mini Gifts Distributors Ltd.","Leslie Jennings",2003-03-26,77.90,"Trucks and Buses"
10113,"1940 Ford Pickup Truck",49,101.50,4973.50,5716.83,743.33,13.002486,"Mini Gifts Distributors Ltd.","Leslie Jennings",2003-03-26,58.33,"Trucks and Buses"
10113,"1939 Cadillac Limousine",50,43.27,2163.50,2515.50,352.00,13.993242,"Mini Gifts Distributors Ltd.","Leslie Jennings",2003-03-26,23.14,"Vintage Cars"
10113,"1996 Peterbilt 379 Stake Bed with Outrigger",23,58.82,1352.86,1486.72,133.86,9.003713,"Mini Gifts Distributors Ltd.","Leslie Jennings",2003-03-26,33.61,"Trucks and Buses"
10114,"1962 LanciaA Delta 16V",31,128.53,3984.43,4579.94,595.51,13.002572,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,103.42,"Classic Cars"
10114,"1964 Mercedes Tour Bus",39,106.78,4164.42,4786.47,622.05,12.996007,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,74.86,"Trucks and Buses"
10114,"1926 Ford Fire Engine",45,53.48,2406.60,2734.65,328.05,11.996051,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,24.92,"Trucks and Buses"
10114,"1992 Ferrari 360 Spider red",48,169.34,8128.32,8128.32,0.00,0.000000,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,77.90,"Classic Cars"
10114,"1940s Ford truck",41,105.34,4318.94,4964.28,645.34,12.999670,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,84.76,"Trucks and Buses"
10114,"1962 Volkswagen Microbus",21,102.23,2146.83,2683.59,536.76,20.001565,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,61.34,"Trucks and Buses"
10114,"1958 Chevy Corvette Limited Edition",24,28.64,687.36,848.64,161.28,19.004525,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,15.91,"Classic Cars"
10114,"1980’s GM Manhattan Express",32,88.61,2835.52,3081.92,246.40,7.995016,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,53.93,"Trucks and Buses"
10114,"1954 Greyhound Scenicruiser",28,43.83,1227.24,1515.08,287.84,18.998337,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,25.98,"Trucks and Buses"
10114,"1982 Camaro Z28",42,82.94,3483.48,4248.30,764.82,18.002966,"La Corne D'abondance, Co.","Loui Bondur",2003-04-01,46.53,"Classic Cars"
10115,"1957 Chevy Pickup",46,111.39,5123.94,5451.00,327.06,6.000000,"Classic Legends Inc.","Foon Yue Tseng",2003-04-04,55.70,"Trucks and Buses"
10115,"1998 Chrysler Plymouth Prowler",46,140.81,6477.26,7531.58,1054.32,13.998656,"Classic Legends Inc.","Foon Yue Tseng",2003-04-04,101.51,"Classic Cars"
10115,"1970 Dodge Coronet",47,56.64,2662.08,2716.60,54.52,2.006920,"Classic Legends Inc.","Foon Yue Tseng",2003-04-04,32.37,"Classic Cars"
10115,"1992 Porsche Cayenne Turbo Silver",44,106.45,4683.80,5204.32,520.52,10.001691,"Classic Legends Inc.","Foon Yue Tseng",2003-04-04,69.78,"Classic Cars"
10115,"Diamond T620 Semi-Skirted Tanker",27,100.70,2718.90,3125.25,406.35,13.002160,"Classic Legends Inc.","Foon Yue Tseng",2003-04-04,68.29,"Trucks and Buses"
10116,"1950's Chicago Surface Lines Streetcar",27,60.28,1627.56,1677.78,50.22,2.993241,"Royale Belge","Pamela Castillo",2003-04-11,26.72,Trains
10117,"2001 Ferrari Enzo",33,195.33,6445.89,6857.40,411.51,6.000962,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,95.59,"Classic Cars"
10117,"1969 Corvair Monza",43,148.06,6366.58,6496.44,129.86,1.998941,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,89.14,"Classic Cars"
10117,"1969 Ford Falcon",39,173.02,6747.78,6747.78,0.00,0.000000,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,83.05,"Classic Cars"
10117,"1903 Ford Model A",26,121.57,3160.82,3551.34,390.52,10.996413,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,68.30,"Vintage Cars"
10117,"Collectable Wooden Train",21,81.68,1715.28,2117.64,402.36,19.000397,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,67.56,Trains
10117,"1970 Triumph Spitfire",22,122.08,2685.76,3159.64,473.88,14.997911,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,91.92,"Classic Cars"
10117,"1904 Buick Runabout",23,73.73,1695.79,2018.71,322.92,15.996354,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,52.66,"Vintage Cars"
10117,"18th century schooner",41,119.20,4887.20,5038.49,151.29,3.002685,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,82.34,Ships
10117,"1962 City of Detroit Streetcar",21,55.65,1168.65,1230.18,61.53,5.001707,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,37.49,Trains
10117,"The Mayflower",38,75.35,2863.30,3291.18,427.88,13.000808,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,43.30,Ships
10117,"The Queen Mary",45,89.38,4022.10,4468.95,446.85,9.998993,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,53.63,Ships
10117,"Pont Yacht",50,52.42,2621.00,2730.00,109.00,3.992674,"Dragon Souveniers, Ltd.","Mami Nishi",2003-04-16,33.30,Ships
10118,"The Titanic",36,86.15,3101.40,3606.12,504.72,13.996206,"Enaco Distributors","Martin Gerard",2003-04-21,51.09,Ships
10119,"1972 Alfa Romeo GTA",46,112.88,5192.48,6256.00,1063.52,17.000000,"Salzburg Collectables","Pamela Castillo",2003-04-28,85.68,"Classic Cars"
10119,"1980s Black Hawk Helicopter",43,151.38,6509.34,6780.67,271.33,4.001522,"Salzburg Collectables","Pamela Castillo",2003-04-28,77.27,Planes
10119,"1999 Yamaha Speed Boat",21,74.84,1571.64,1806.42,234.78,12.996977,"Salzburg Collectables","Pamela Castillo",2003-04-28,51.61,Ships
10119,"1941 Chevrolet Special Deluxe Cabriolet",27,95.28,2572.56,2858.49,285.93,10.002834,"Salzburg Collectables","Pamela Castillo",2003-04-28,64.58,"Vintage Cars"
10119,"1900s Vintage Bi-Plane",41,64.40,2640.40,2808.91,168.51,5.999124,"Salzburg Collectables","Pamela Castillo",2003-04-28,34.25,Planes
10119,"1912 Ford Model T Delivery Wagon",35,72.58,2540.30,3097.85,557.55,17.997966,"Salzburg Collectables","Pamela Castillo",2003-04-28,46.91,"Vintage Cars"
