productName,priceEach,buyPrice,MSRP,productLine,productScale,productVendor,quantityOrdered,customerName,customerCountry,customerCity,customerCreditLimit,employeeName,employeeCity,employeeCountry,employeeTerritory,orderDate
"18th Century Vintage Horse Carriage",93.20,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",35,"Corporate Gift Ideas Co.",USA,"San Francisco",105000.00,"Leslie Jennings","San Francisco",USA,NA,2005-02-17
"18th Century Vintage Horse Carriage",103.67,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",29,"Mini Auto Werke",Austria,Graz,45300.00,"Pamela Castillo",Paris,France,EMEA,2005-03-10
"18th Century Vintage Horse Carriage",84.82,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",34,GiftsForHim.com,"New Zealand",Auckland,77700.00,"Peter Marsh",Sydney,Australia,APAC,2005-04-29
"18th Century Vintage Horse Carriage",98.44,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",21,"Petit Auto",Belgium,Bruxelles,79900.00,"Pamela Castillo",Paris,France,EMEA,2005-05-30
"18th Century Vintage Horse Carriage",86.92,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",25,"Baane Mini Imports",Norway,Stavern,81700.00,"Barry Jones",London,UK,EMEA,2003-01-29
"18th Century Vintage Horse Carriage",94.25,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",43,"Mini Wheels Co.",USA,"San Francisco",64600.00,"Leslie Jennings","San Francisco",USA,NA,2003-03-25
"18th Century Vintage Horse Carriage",93.20,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",30,"Corrida Auto Replicas, Ltd",Spain,Madrid,104600.00,"Martin Gerard",Paris,France,EMEA,2003-05-28
"18th Century Vintage Horse Carriage",101.58,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",20,"Souveniers And Things Co.",Australia,Chatswood,93300.00,"Andy Fixter",Sydney,Australia,APAC,2003-07-16
"18th Century Vintage Horse Carriage",97.39,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",26,"Dragon Souveniers, Ltd.",Singapore,Singapore,103800.00,"Mami Nishi",Tokyo,Japan,Japan,2003-09-19
"18th Century Vintage Horse Carriage",101.58,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",40,"Classic Legends Inc.",USA,NYC,67500.00,"Foon Yue Tseng",NYC,USA,NA,2003-10-20
"18th Century Vintage Horse Carriage",86.92,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",31,"Rovelli Gifts",Italy,Bergamo,119600.00,"Pamela Castillo",Paris,France,EMEA,2003-11-05
"18th Century Vintage Horse Carriage",90.06,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",22,"Classic Gift Ideas, Inc",USA,Philadelphia,81100.00,"Julie Firrelli",Boston,USA,NA,2003-11-13
"18th Century Vintage Horse Carriage",97.39,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",23,"Australian Collectables, Ltd",Australia,"Glen Waverly",60300.00,"Andy Fixter",Sydney,Australia,APAC,2003-11-21
"18th Century Vintage Horse Carriage",102.63,60.74,104.72,"Vintage Cars",1:18,"Red Start Diecast",30,"Canadian Gift Exchange Network",Canada,Vancouver,90300.00,"George Vanauf",NYC,USA,NA,2003-12-05
"1900s Vintage Bi-Plane",65.77,34.25,68.51,Planes,1:24,"Autoart Studio Design",49,"Rovelli Gifts",Italy,Bergamo,119600.00,"Pamela Castillo",Paris,France,EMEA,2003-02-17
"1900s Vintage Bi-Plane",64.40,34.25,68.51,Planes,1:24,"Autoart Studio Design",41,"Salzburg Collectables",Austria,Salzburg,71700.00,"Pamela Castillo",Paris,France,EMEA,2003-04-28
"1900s Vintage Bi-Plane",60.97,34.25,68.51,Planes,1:24,"Autoart Studio Design",35,"Gift Ideas Corp.",USA,Glendale,49700.00,"George Vanauf",NYC,USA,NA,2003-06-16
"1900s Vintage Bi-Plane",63.71,34.25,68.51,Planes,1:24,"Autoart Studio Design",27,"Mini Creations Ltd.",USA,"New Bedford",94500.00,"Julie Firrelli",Boston,USA,NA,2003-08-10
"1900s Vintage Bi-Plane",62.34,34.25,68.51,Planes,1:24,"Autoart Studio Design",23,"Toys of Finland, Co.",Finland,Helsinki,96500.00,"Larry Bott",London,UK,EMEA,2003-10-06
"1900s Vintage Bi-Plane",54.81,34.25,68.51,Planes,1:24,"Autoart Studio Design",21,"Scandinavian Gift Ideas",Sweden,Bräcke,116400.00,"Barry Jones",London,UK,EMEA,2003-10-23
"1900s Vintage Bi-Plane",67.82,34.25,68.51,Planes,1:24,"Autoart Studio Design",34,"Alpha Cognac",France,Toulouse,61100.00,"Gerard Hernandez",Paris,France,EMEA,2003-11-08
"1900s Vintage Bi-Plane",60.29,34.25,68.51,Planes,1:24,"Autoart Studio Design",22,"Double Decker Gift Stores, Ltd",UK,London,43300.00,"Larry Bott",London,UK,EMEA,2003-11-14
"1900s Vintage Bi-Plane",60.97,34.25,68.51,Planes,1:24,"Autoart Studio Design",48,"Cruz & Sons Co.",Philippines,"Makati City",81500.00,"Mami Nishi",Tokyo,Japan,Japan,2003-11-27
"1900s Vintage Bi-Plane",66.45,34.25,68.51,Planes,1:24,"Autoart Studio Design",43,"Men 'R' US Retailers, Ltd.",USA,"Los Angeles",57700.00,"Leslie Thompson","San Francisco",USA,NA,2004-01-09
"1900s Vintage Bi-Plane",56.86,34.25,68.51,Planes,1:24,"Autoart Studio Design",32,"Collectable Mini Designs Co.",USA,"San Diego",105000.00,"Leslie Thompson","San Francisco",USA,NA,2004-02-19
"1900s Vintage Bi-Plane",67.14,34.25,68.51,Planes,1:24,"Autoart Studio Design",44,"Extreme Desk Decorations, Ltd","New Zealand",Wellington,86800.00,"Peter Marsh",Sydney,Australia,APAC,2004-03-30
"1900s Vintage Bi-Plane",54.81,34.25,68.51,Planes,1:24,"Autoart Studio Design",20,"Cambridge Collectables Co.",USA,Cambridge,43400.00,"Julie Firrelli",Boston,USA,NA,2004-05-08
"1900s Vintage Bi-Plane",63.71,34.25,68.51,Planes,1:24,"Autoart Studio Design",24,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2004-06-24
"1900s Vintage Bi-Plane",56.86,34.25,68.51,Planes,1:24,"Autoart Studio Design",40,"Collectables For Less Inc.",USA,Brickhaven,70700.00,"Julie Firrelli",Boston,USA,NA,2004-07-21
"1900s Vintage Bi-Plane",65.08,34.25,68.51,Planes,1:24,"Autoart Studio Design",30,"Norway Gifts By Mail, Co.","Norway  ",Oslo,95100.00,"Barry Jones",London,UK,EMEA,2004-08-21
"1900s Vintage Bi-Plane",60.97,34.25,68.51,Planes,1:24,"Autoart Studio Design",21,"Bavarian Collectables Imports, Co.",Germany,Munich,77000.00,"Barry Jones",London,UK,EMEA,2004-09-15
"1900s Vintage Bi-Plane",58.23,34.25,68.51,Planes,1:24,"Autoart Studio Design",25,"Classic Gift Ideas, Inc",USA,Philadelphia,81100.00,"Julie Firrelli",Boston,USA,NA,2004-10-14
"1900s Vintage Bi-Plane",67.14,34.25,68.51,Planes,1:24,"Autoart Studio Design",34,giftsbymail.co.uk,UK,Cowes,93900.00,"Larry Bott",London,UK,EMEA,2004-11-01
"1900s Vintage Bi-Plane",67.82,34.25,68.51,Planes,1:24,"Autoart Studio Design",48,"Rovelli Gifts",Italy,Bergamo,119600.00,"Pamela Castillo",Paris,France,EMEA,2004-11-12
"1900s Vintage Bi-Plane",67.82,34.25,68.51,Planes,1:24,"Autoart Studio Design",55,"Tokyo Collectables, Ltd",Japan,Minato-ku,94400.00,"Mami Nishi",Tokyo,Japan,Japan,2004-11-23
"1900s Vintage Bi-Plane",64.40,34.25,68.51,Planes,1:24,"Autoart Studio Design",25,"Stylish Desk Decors, Co.",UK,London,77000.00,"Larry Bott",London,UK,EMEA,2004-12-03
"1900s Vintage Bi-Plane",55.49,34.25,68.51,Planes,1:24,"Autoart Studio Design",49,"Kelly's Gift Shop","New Zealand","Auckland  ",110000.00,"Peter Marsh",Sydney,Australia,APAC,2004-12-16
"1900s Vintage Bi-Plane",58.92,34.25,68.51,Planes,1:24,"Autoart Studio Design",38,"Oulu Toy Supplies, Inc.",Finland,Oulu,90500.00,"Larry Bott",London,UK,EMEA,2005-01-31
"1900s Vintage Bi-Plane",56.86,34.25,68.51,Planes,1:24,"Autoart Studio Design",39,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2005-03-01
"1900s Vintage Bi-Plane",60.29,34.25,68.51,Planes,1:24,"Autoart Studio Design",28,"Reims Collectables",France,Reims,81100.00,"Loui Bondur",Paris,France,EMEA,2005-03-30
"1900s Vintage Bi-Plane",55.49,34.25,68.51,Planes,1:24,"Autoart Studio Design",24,"The Sharp Gifts Warehouse",USA,"San Jose",77600.00,"Leslie Jennings","San Francisco",USA,NA,2005-04-01
"1900s Vintage Bi-Plane",60.97,34.25,68.51,Planes,1:24,"Autoart Studio Design",21,"Australian Collectables, Ltd",Australia,"Glen Waverly",60300.00,"Andy Fixter",Sydney,Australia,APAC,2005-05-09
"1900s Vintage Tri-Plane",69.55,36.23,72.45,Planes,1:24,"Unimax Art Galleries",43,"Rovelli Gifts",Italy,Bergamo,119600.00,"Pamela Castillo",Paris,France,EMEA,2004-11-12
"1900s Vintage Tri-Plane",63.76,36.23,72.45,Planes,1:24,"Unimax Art Galleries",40,"Enaco Distributors",Spain,Barcelona,60300.00,"Martin Gerard",Paris,France,EMEA,2004-11-24
"1900s Vintage Tri-Plane",69.55,36.23,72.45,Planes,1:24,"Unimax Art Galleries",35,"Gift Ideas Corp.",USA,Glendale,49700.00,"George Vanauf",NYC,USA,NA,2004-12-04
"1900s Vintage Tri-Plane",68.83,36.23,72.45,Planes,1:24,"Unimax Art Galleries",25,"Souveniers And Things Co.",Australia,Chatswood,93300.00,"Andy Fixter",Sydney,Australia,APAC,2004-12-17
"1900s Vintage Tri-Plane",60.13,36.23,72.45,Planes,1:24,"Unimax Art Galleries",43,"La Rochelle Gifts",France,Nantes,118200.00,"Gerard Hernandez",Paris,France,EMEA,2005-02-03
"1900s Vintage Tri-Plane",71.73,36.23,72.45,Planes,1:24,"Unimax Art Galleries",50,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2005-03-01
"1900s Vintage Tri-Plane",65.93,36.23,72.45,Planes,1:24,"Unimax Art Galleries",45,"Reims Collectables",France,Reims,81100.00,"Loui Bondur",Paris,France,EMEA,2005-03-30
"1900s Vintage Tri-Plane",65.93,36.23,72.45,Planes,1:24,"Unimax Art Galleries",52,"Tekni Collectables Inc.",USA,Newark,43000.00,"George Vanauf",NYC,USA,NA,2005-04-03
"1900s Vintage Tri-Plane",70.28,36.23,72.45,Planes,1:24,"Unimax Art Galleries",48,"L'ordine Souveniers",Italy,"Reggio Emilia",121400.00,"Pamela Castillo",Paris,France,EMEA,2005-05-10
"1900s Vintage Tri-Plane",71.00,36.23,72.45,Planes,1:24,"Unimax Art Galleries",26,"Rovelli Gifts",Italy,Bergamo,119600.00,"Pamela Castillo",Paris,France,EMEA,2003-02-17
"1900s Vintage Tri-Plane",71.73,36.23,72.45,Planes,1:24,"Unimax Art Galleries",29,"Australian Collectors, Co.",Australia,Melbourne,117300.00,"Andy Fixter",Sydney,Australia,APAC,2003-04-29
"1900s Vintage Tri-Plane",61.58,36.23,72.45,Planes,1:24,"Unimax Art Galleries",46,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2003-06-27
"1900s Vintage Tri-Plane",71.73,36.23,72.45,Planes,1:24,"Unimax Art Galleries",33,Toys4GrownUps.com,USA,Pasadena,90700.00,"Leslie Thompson","San Francisco",USA,NA,2003-08-25
"1900s Vintage Tri-Plane",66.65,36.23,72.45,Planes,1:24,"Unimax Art Galleries",33,"Frau da Collezione",Italy,Milan,34800.00,"Pamela Castillo",Paris,France,EMEA,2003-10-09
"1900s Vintage Tri-Plane",68.10,36.23,72.45,Planes,1:24,"Unimax Art Galleries",48,"Technics Stores Inc.",USA,Burlingame,84600.00,"Leslie Jennings","San Francisco",USA,NA,2003-10-28
"1900s Vintage Tri-Plane",66.65,36.23,72.45,Planes,1:24,"Unimax Art Galleries",27,"Kelly's Gift Shop","New Zealand","Auckland  ",110000.00,"Peter Marsh",Sydney,Australia,APAC,2003-11-11
"1900s Vintage Tri-Plane",64.48,36.23,72.45,Planes,1:24,"Unimax Art Galleries",33,"King Kong Collectables, Co.","Hong Kong","Central Hong Kong",58600.00,"Mami Nishi",Tokyo,Japan,Japan,2003-11-15
"1900s Vintage Tri-Plane",70.28,36.23,72.45,Planes,1:24,"Unimax Art Galleries",39,"King Kong Collectables, Co.","Hong Kong","Central Hong Kong",58600.00,"Mami Nishi",Tokyo,Japan,Japan,2003-12-01
"1900s Vintage Tri-Plane",68.10,36.23,72.45,Planes,1:24,"Unimax Art Galleries",40,"Osaka Souveniers Co.",Japan,Kita-ku,81200.00,"Mami Nishi",Tokyo,Japan,Japan,2004-01-12
"1900s Vintage Tri-Plane",68.10,36.23,72.45,Planes,1:24,"Unimax Art Galleries",23,"Australian Collectors, Co.",Australia,Melbourne,117300.00,"Andy Fixter",Sydney,Australia,APAC,2004-02-20
"1900s Vintage Tri-Plane",63.03,36.23,72.45,Planes,1:24,"Unimax Art Galleries",40,"Royal Canadian Collectables, Ltd.",Canada,Tsawassen,89600.00,"George Vanauf",NYC,USA,NA,2004-04-02
"1900s Vintage Tri-Plane",72.45,36.23,72.45,Planes,1:24,"Unimax Art Galleries",37,"The Sharp Gifts Warehouse",USA,"San Jose",77600.00,"Leslie Jennings","San Francisco",USA,NA,2004-05-11
"1900s Vintage Tri-Plane",59.41,36.23,72.45,Planes,1:24,"Unimax Art Galleries",24,"Gift Depot Inc.",USA,Bridgewater,84300.00,"George Vanauf",NYC,USA,NA,2004-06-28
"1900s Vintage Tri-Plane",67.38,36.23,72.45,Planes,1:24,"Unimax Art Galleries",27,"La Rochelle Gifts",France,Nantes,118200.00,"Gerard Hernandez",Paris,France,EMEA,2004-07-23
"1900s Vintage Tri-Plane",66.65,36.23,72.45,Planes,1:24,"Unimax Art Galleries",21,"Norway Gifts By Mail, Co.","Norway  ",Oslo,95100.00,"Barry Jones",London,UK,EMEA,2004-08-21
"1900s Vintage Tri-Plane",71.73,36.23,72.45,Planes,1:24,"Unimax Art Galleries",23,"Clover Collections, Co.",Ireland,Dublin,69400.00,"Barry Jones",London,UK,EMEA,2004-09-16
"1900s Vintage Tri-Plane",71.73,36.23,72.45,Planes,1:24,"Unimax Art Galleries",44,"Mini Classics",USA,"White Plains",102700.00,"George Vanauf",NYC,USA,NA,2004-10-15
"1900s Vintage Tri-Plane",69.55,36.23,72.45,Planes,1:24,"Unimax Art Galleries",35,"Technics Stores Inc.",USA,Burlingame,84600.00,"Leslie Jennings","San Francisco",USA,NA,2004-11-02
"1903 Ford Model A",133.86,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",33,"Petit Auto",Belgium,Bruxelles,79900.00,"Pamela Castillo",Paris,France,EMEA,2004-02-18
"1903 Ford Model A",133.86,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",22,giftsbymail.co.uk,UK,Cowes,93900.00,"Larry Bott",London,UK,EMEA,2004-03-20
"1903 Ford Model A",133.86,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",32,"Land of Toys Inc.",USA,NYC,114900.00,"George Vanauf",NYC,USA,NA,2004-05-07
"1903 Ford Model A",121.57,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",32,GiftsForHim.com,"New Zealand",Auckland,77700.00,"Peter Marsh",Sydney,Australia,APAC,2004-06-16
"1903 Ford Model A",117.47,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",40,"Petit Auto",Belgium,Bruxelles,79900.00,"Pamela Castillo",Paris,France,EMEA,2004-07-21
"1903 Ford Model A",122.93,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",43,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2004-08-20
"1903 Ford Model A",110.64,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",24,"Amica Models & Co.",Italy,Torino,113000.00,"Pamela Castillo",Paris,France,EMEA,2004-09-09
"1903 Ford Model A",114.74,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",32,"AV Stores, Co.",UK,Manchester,136800.00,"Larry Bott",London,UK,EMEA,2004-10-14
"1903 Ford Model A",129.76,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",20,"Heintze Collectables",Denmark,Århus,120800.00,"Pamela Castillo",Paris,France,EMEA,2004-10-22
"1903 Ford Model A",114.74,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",24,"Baane Mini Imports",Norway,Stavern,81700.00,"Barry Jones",London,UK,EMEA,2004-11-05
"1903 Ford Model A",135.22,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",48,"La Corne D'abondance, Co.",France,Paris,84300.00,"Loui Bondur",Paris,France,EMEA,2004-11-20
"1903 Ford Model A",135.22,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",44,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2004-12-02
"1903 Ford Model A",122.93,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",29,"Kelly's Gift Shop","New Zealand","Auckland  ",110000.00,"Peter Marsh",Sydney,Australia,APAC,2004-12-16
"1903 Ford Model A",131.13,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",28,"Tokyo Collectables, Ltd",Japan,Minato-ku,94400.00,"Mami Nishi",Tokyo,Japan,Japan,2005-01-26
"1903 Ford Model A",125.66,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",24,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2005-02-22
"1903 Ford Model A",129.76,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",33,"Mini Gifts Distributors Ltd.",USA,"San Rafael",210500.00,"Leslie Jennings","San Francisco",USA,NA,2005-03-23
"1903 Ford Model A",128.39,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",41,Gifts4AllAges.com,USA,Boston,41900.00,"Steve Patterson",Boston,USA,NA,2005-05-06
"1903 Ford Model A",136.59,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",22,"Danish Wholesale Imports",Denmark,Kobenhavn,83400.00,"Pamela Castillo",Paris,France,EMEA,2003-02-11
"1903 Ford Model A",121.57,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",26,"Dragon Souveniers, Ltd.",Singapore,Singapore,103800.00,"Mami Nishi",Tokyo,Japan,Japan,2003-04-16
"1903 Ford Model A",120.20,68.30,136.59,"Vintage Cars",1:18,"Unimax Art Galleries",41,"Euro+ Shopping Channel",Spain,Madrid,227600.00,"Gerard Hernandez",Paris,France,EMEA,2003-06-06
